dataset,field_id,type,description,coverage,alphaCount,userCount
model77,abnormal_return_earnings_release,MATRIX,Abnormal stock return around quarterly earnings release event,0.9992,202,114
model77,asia_pacific_sales_exposure,MATRIX,Proportion of company sales from the Asia-Pacific region,0.7924,863,660
model77,asset_growth_rate,MATRIX,Aggregate Gamma,0.8736,124,97
model77,asset_growth_rate_sensitivityfactor,MATRIX,Aggregate gamma from the options market; measures overall options positioning impact on returns,0.9393,15,12
model77,book_leverage_ratio_3,MATRIX,Book leverage ratio; total assets divided by book equity,1.0,1287,680
model77,capex_to_depreciation_linkage,MATRIX,Linkage or ratio between capital expenditures and depreciation expense; may indicate asset reinvestment,0.9463,66,47
model77,capex_to_total_assets,MATRIX,TTM capital expenditure divided by total assets; measure of investment intensity,0.989,145,76
model77,cash_burn_rate,MATRIX,Cash Burn Rate,0.9287,208,164
model77,cash_burn_rate_v1,MATRIX,Rate at which a company uses up its cash resources; lower value indicates better cash generation ability,0.9044,27,19
model77,cash_earnings_return_on_equity,MATRIX,Cash Earnings Return On Equity: a profitability metric measuring cash earnings as a proportion of shareholder equity,0.9249,84,46
model77,cash_flow_return_on_invested_capital,MATRIX,Cash Flow Return on Invested Capital; trailing 12-month cash flow divided by average invested capital,0.4416,18,14
model77,change_in_eps_surprise,MATRIX,Change in earnings per share (EPS) surprise compared to the previous earnings period,1.0,75,58
model77,coefficient_variation_fy1_eps,MATRIX,Coefficient of variation (dispersion) of EPS estimates for fiscal year 1; analyst disagreement,0.9341,189,109
model77,coefficient_variation_fy2_eps,MATRIX,"Dispersion of FY2 EPS analyst forecasts, calculated as standard deviation divided by the mean of FY2 estimates",1.0,37,23
model77,consensus_analyst_rating,MATRIX,Street Consensus Rating,0.9887,281,131
model77,credit_risk_premium_indicator,MATRIX,Sensitivity of the company’s stock to changes in the credit risk premium (spread between BAA and AAA bond yields),0.9819,86,64
model77,current_liabilities_to_price,MATRIX,Current Liabilities-to-Price,0.846,347,293
model77,current_liabilities_to_price_v1,MATRIX,Current liabilities divided by price; indicator of short-term balance sheet risk,0.8238,47,41
model77,current_ratio_2,MATRIX,Current Ratio; current assets divided by current liabilities,0.3551,11,10
model77,distress_risk_measure,MATRIX,Distress measure score (quantifies financial distress or bankruptcy risk),0.8212,75,30
model77,dividends_to_gross_profit,MATRIX,Total dividends paid divided by gross profit.,1.0,62,51
model77,earnings_expectation_module_score,MATRIX,Earnings Expectations (submodule of Momentum Analyst II),1.0,140,67
model77,earnings_momentum_analyst_score,MATRIX,Reported Earnings Momentum (submodule of Momentum Analyst II),1.0,100,69
model77,earnings_momentum_composite_score,MATRIX,"Composite score reflecting overall earnings momentum, calculated from related earnings momentum signals",1.0,45,30
model77,earnings_momentum_composite_score_2,MATRIX,Composite score summarizing multiple earnings momentum signals into a single metric,1.0,19,15
model77,earnings_revision_magnitude,MATRIX,"Magnitude of analyst EPS forecast revisions; three-month change in median FY1 estimate, scaled",0.7929,14,11
model77,earnings_shortfall_metric,MATRIX,Measure of earnings shortfall (actual earnings below consensus expectations),0.9905,62,42
model77,earnings_torpedo_indicator,MATRIX,Next four quarter EPS estimate plus trailing twelve-month real earnings surprise divided by trailing EPS.,1.0,74,34
model77,emea_sales_exposure,MATRIX,"Proportion of company’s sales coming from the Europe, Middle East, and Africa (EMEA) region",0.8136,86,69
model77,enterprise_value_weighted_value_score,MATRIX,Earnings Valuation (submodule of Value Analyst II),1.0,551,350
model77,equity_value_score,MATRIX,Earnings Quality (submodule of Value Analyst II),1.0,106,53
model77,fcf_yield_multiplied_forward_roe,MATRIX,"Product of trailing twelve-month free cash flow yield and forward return on equity (ROE), typically calculated by multiplying TTM FCF per share with next period’s ROE, scaled by price",0.9462,62,37
model77,fcf_yield_times_forward_roe,MATRIX,Product of trailing twelve-month free cash flow yield and next four-quarter forward return on equity,1.0,32,25
model77,fcf_yield_times_forward_roe_2,MATRIX,"Product of trailing twelve-month free cash flow yield and forward one-year return on equity, scaled by price",1.0,24,15
model77,fifteen_to_thirtysix_week_price_ratio,MATRIX,Stock price ratio measured over past 15-36 weeks; price momentum indicator,0.9825,7,6
model77,fifty_to_two_hundred_day_price_ratio,MATRIX,50-day moving average price divided by 200-day moving average price; medium-term momentum indicator,0.9743,12,9
model77,financial_statement_value_score,MATRIX,Financial Statement Valuation (submodule of Value Analyst II),1.0,71,33
model77,five_year_dividend_growth_rate_2,MATRIX,Five-year dividend growth rate,0.3229,8,8
model77,five_year_eps_stability,MATRIX,Standard deviation of last five years’ trailing twelve-month EPS divided by their mean.,1.0,47,27
model77,five_year_eps_trend_r_squared_2,MATRIX,"R-squared of the five-year trailing twelve-month EPS trend line, indicating earnings trend fit.",1.0,20,18
model77,five_year_eps_trend_slope_2,MATRIX,Slope coefficient of the five-year trailing twelve-month EPS trend line.,1.0,43,27
model77,fixed_cash_to_current_liabilities_ratio,MATRIX,"Ratio of cash and equivalents to current liabilities, using a fixed calculation method.",0.4839,22,17
model77,forward_book_value_to_price,MATRIX,Forward-looking book value per share divided by closing price.,1.0,47,29
model77,forward_cash_flow_to_price,MATRIX,Forward-looking cash flows per share divided by price.,1.0,51,29
model77,forward_ebitda_to_enterprise_value_2,MATRIX,Forward-looking EBITDA divided by enterprise value.,1.0,54,29
model77,forward_median_earnings_yield,MATRIX,Leading 12-Month Median Earnings Yield,0.4604,21,19
model77,forward_median_earnings_yield_globaldividend,MATRIX,Leading 12-Month Median Earnings Yield; estimated future earnings divided by price,0.4484,6,6
model77,forward_sales_to_price,MATRIX,Forward-looking sales per share divided by trading price.,1.0,38,23
model77,forward_two_year_eps_growth,MATRIX,"2-Year Ahead EPS Growth; forecasted EPS for fiscal year 2 minus year 1, scaled by price",0.4484,2,2
model77,forward_two_year_eps_growth_rate,MATRIX,"Projected two-year-ahead EPS growth, defined as the difference between FY2 and FY1 forecasted earnings scaled by price",1.0,299,267
model77,fundamental_growth_module_score,MATRIX,Fundamental Growth (submodule of Momentum Analyst II),1.0,11,6
model77,fy1_eps_estimate_dispersion_2,MATRIX,FY1 EPS Estimates Dispersion,0.4401,3,3
model77,fy1_eps_estimate_dispersion_globaldividend,MATRIX,"Dispersion of FY1 EPS estimates (e.g., coefficient of variation across analysts)",0.4285,0,0
model77,fy2_eps_estimate_dispersion,MATRIX,"Dispersion of FY2 EPS analyst estimates, calculated as standard deviation divided by the mean of forecasts",1.0,13,9
model77,global_dividend_model_composite_score,MATRIX,Composite Global Dividend factor for the stock,0.4495,4,3
model77,gross_profit_margin_ttm_2,MATRIX,Trailing twelve-month gross profit margin.,1.0,95,53
model77,gross_profit_to_assets_ratio,MATRIX,Trailing twelve-month gross profit to assets ratio.,1.0,84,53
model77,high_low_eps_revision_sum,MATRIX,Street revision confidence: sum of changes in highest and lowest FY1 EPS estimates over three months,0.9718,88,52
model77,housing_starts_indicator,MATRIX,Housing Starts Sensitivity,0.9819,116,109
model77,implied_minus_realized_volatility_2,MATRIX,Volatility Spread,0.9408,67,57
model77,implied_option_volatility,MATRIX,"Implied volatility derived from options prices, indicating expected future stock volatility",0.9411,90,51
