dataset,field_id,type,description,coverage,alphaCount,userCount
news12,actual_earnings_per_share_2,VECTOR,Actual earnings per share value reported in the news,0.7121,17,12
news12,actual_earnings_per_share_3,VECTOR,Actual Earnings Per Share value conveyed by the news release,0.4467,2,2
news12,actual_earnings_per_share_4,VECTOR,Actual Earnings Per Share reported for day 1 in 'All Filter' module,0.8294,15,11
news12,actual_earnings_per_share_value,VECTOR,Actual Earnings Per Share reported in the news release,0.8912,8,6
news12,actual_earnings_per_share_value_2_1555,VECTOR,Actual Earnings Per Share value reported in the news,0.8865,3,3
news12,actual_earnings_per_share_value_afterhours,VECTOR,The actual Earnings Per Share (EPS) value reported and mentioned in the news release,0.4467,1,1
news12,actual_eps_value,VECTOR,Actual reported Earnings Per Share on Day 1,0.8294,7,5
news12,actual_eps_value_2,VECTOR,The actual Earnings Per Share value released in the news event,0.7121,9,7
news12,advantageous_position_flag,VECTOR,Indicator of whether a long or short position would have been more favorable.,1.0,9,5
news12,advantageous_position_flag_pre_filter,VECTOR,"Indicator for whether a long (1), neutral (0), or short (-1) position would have been more advantageous, based on move after the news in session",0.9427,2,2
news12,after_hours_vwap_2,VECTOR,Volume-Weighted Average Price after trade or post-market session on Day 1,1.0,2,2
news12,after_hours_vwap_value,VECTOR,Post session volume weighted average price,0.3426,0,0
news12,after_session_vwap,VECTOR,Volume weighted average price in the post-session,0.9664,1,1
news12,afterhours_volume_weighted_avg_price,VECTOR,Post-market Volume Weighted Average Price for the session,1.0,2,2
news12,aggregate_session_vwap_2,VECTOR,Volume weighted average price for all sessions combined throughout the day,0.3533,0,0
news12,aggregate_sessions_vwap,VECTOR,Volume Weighted Average Price across all periods in the session,1.0,2,2
news12,all_sessions_volume_weighted_avg_price,VECTOR,Volume Weighted Average Price for all trades during the session,0.3552,0,0
news12,all_sessions_vwap,VECTOR,"Volume Weighted Average Price calculated over all trades within the event window or current day (D1) for the ""All"" session",1.0,1,1
news12,annual_dividend_percent,VECTOR,Dividend yield percentage for the stock,0.4837,0,0
news12,annual_dividend_percent_2_1555,VECTOR,Dividend yield percentage (annual dividend divided by stock price),0.4808,0,0
news12,annual_dividend_percent_of_share_price,VECTOR,Dividend yield percentage for Day 1 in the filter module,0.487,0,0
news12,annual_dividend_yield,VECTOR,Dividend yield (annual dividend / stock price) for the security on Day 1,0.487,0,0
